ackley,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59
16.94933574,23,32,36,30,24,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,31,27,41,33,43,35,36,33,35,38,26,18,27,34,35,30,45,31,24,53,27,29,20,25,34,40,34
17.21141304,23,32,36,30,43,19,34,32,39,37,34,31,38,45,47,27,27,26,22,26,20,27,31,26,33,33,33,22,42,27,50,42,23,37,27,41,33,30,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.25676584,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,34,27,27,22,26,20,39,31,40,22,33,33,22,42,27,29,42,23,30,27,41,33,42,24,18,33,35,38,34,18,27,36,35,30,45,31,24,53,27,29,16,25,34,40,34
17.32319042,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,40,26,20,27,31,26,33,33,33,22,42,27,29,43,23,37,27,41,33,42,24,18,33,35,38,34,20,27,34,35,30,45,31,24,53,27,29,16,25,25,40,34
17.33978239,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.35235493,23,32,36,30,43,19,34,32,20,37,26,31,34,45,47,17,27,26,22,26,20,27,31,26,33,25,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,32,40,34
17.3565105,23,32,36,30,43,24,34,32,20,37,27,31,38,45,18,17,27,26,22,26,20,27,31,26,33,33,33,22,42,30,29,42,23,37,27,41,33,51,24,18,33,35,32,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,25,34
17.35801837,23,32,36,30,43,19,34,32,20,37,39,31,38,45,47,17,27,26,51,26,20,27,31,26,33,33,33,22,42,27,29,36,23,37,27,41,33,29,38,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,18,25,38,40,34
17.36048506,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,21,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.39087102,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,25,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.40946143,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,45,35,18,33,35,48,34,18,27,34,35,30,45,31,24,53,27,29,25,25,25,40,34
17.44890668,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,10,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,36,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.45960421,23,32,36,30,43,19,34,32,20,37,26,31,38,39,47,17,27,44,22,26,20,27,31,26,33,33,33,39,42,27,29,42,23,37,27,41,33,42,24,18,33,35,17,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.47714703,23,32,36,30,43,19,34,32,34,37,39,31,38,45,47,47,27,26,57,26,20,27,31,26,33,33,33,22,42,35,29,42,23,37,27,45,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,28,25,32,40,34
17.4944596,23,32,36,30,43,19,34,32,20,37,26,31,38,30,47,17,27,26,22,26,20,27,31,26,33,33,33,11,42,27,29,42,23,37,27,41,33,42,24,17,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.50986858,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,15,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.53014053,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,17,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.53014053,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,17,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.53244619,23,32,36,30,43,19,34,32,20,37,38,31,38,45,47,17,27,26,22,26,20,18,31,26,33,33,33,43,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,29,34,35,30,45,31,24,53,15,29,27,25,31,40,34
17.53743051,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,40,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,21,24,18,33,35,38,34,18,27,34,35,42,45,31,24,53,27,29,16,19,30,40,34
17.53772802,23,32,36,30,43,19,34,32,20,37,33,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,19,42,27,29,42,23,37,24,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,29,46,34
17.55013015,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,2,42,27,29,38,23,37,27,41,33,42,24,36,33,35,38,34,18,27,34,35,30,31,31,24,53,27,29,16,25,34,40,34
17.55136393,23,32,36,30,43,19,34,32,20,37,26,31,38,34,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,9,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.55872127,23,32,36,30,43,19,46,32,20,37,39,31,38,49,47,17,27,26,22,26,20,27,31,26,33,33,33,28,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.55874494,36,32,36,30,43,19,34,32,39,37,38,40,38,39,47,39,27,26,34,26,20,27,42,28,33,14,33,28,38,27,29,42,44,30,44,9,33,42,24,18,39,35,38,34,18,34,39,35,30,45,31,24,48,27,29,16,25,29,40,34
17.56098418,23,32,28,30,43,24,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,29,5,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,27,25,42,40,34
17.56609414,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,16,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,26,27,34,35,30,45,31,24,53,27,29,16,25,48,40,34
17.57270782,23,32,36,30,43,19,34,32,20,37,39,31,38,45,47,17,27,26,51,26,20,27,31,26,33,33,33,25,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,39,35,30,45,31,24,53,27,29,16,25,31,40,34
17.57763281,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,28,42,27,17,42,23,20,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.58086654,23,32,36,30,43,19,34,32,20,37,39,31,38,45,47,17,27,26,51,26,20,27,31,26,33,33,33,25,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,39,35,30,45,31,24,53,27,29,16,25,29,40,34
17.58150572,36,32,36,30,43,19,34,28,39,37,39,31,38,45,47,17,27,26,34,26,20,27,8,22,33,33,33,46,25,27,29,42,18,30,44,41,33,42,24,18,33,35,38,34,18,26,39,35,30,45,31,24,31,27,29,16,25,29,40,34
17.58935749,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,28,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,47,35,38,34,18,27,34,35,30,45,43,24,53,27,29,16,25,34,40,34
17.59156236,23,25,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,21,26,20,27,31,26,33,33,33,28,42,27,29,42,23,37,44,32,33,42,50,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.596072,23,32,36,30,43,19,34,32,20,37,15,31,38,35,47,47,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,44,41,40,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.59658616,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,21,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,48,40,34
17.60140002,23,32,36,30,43,19,34,42,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,19
17.6014661,23,32,36,30,43,19,34,32,27,37,26,22,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,13,31,24,53,27,29,16,25,43,40,34
17.60425211,23,32,36,30,43,19,34,32,39,37,39,31,38,45,47,17,27,26,51,26,20,27,31,29,33,33,33,25,42,27,29,42,23,42,44,41,33,42,24,18,33,35,38,34,20,27,39,35,30,45,31,24,53,27,29,16,25,29,40,34
17.60688878,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,15,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,34,40,34
17.61351596,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,50,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,23,40,34
17.61650105,23,32,36,30,43,19,34,32,20,37,26,31,38,45,47,17,27,26,22,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,27,34,35,30,45,31,24,53,27,29,16,25,43,40,19
17.62457636,23,32,36,30,43,19,34,32,39,37,26,31,38,45,47,47,27,26,34,26,17,27,31,26,23,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,23,34,35,30,45,31,24,53,27,29,16,25,49,40,34
17.63647159,23,32,36,30,43,19,34,32,20,37,19,31,38,45,47,17,27,26,50,26,20,27,31,26,33,33,33,22,42,27,29,42,23,37,27,41,33,42,24,18,33,35,38,34,18,33,34,35,30,45,31,24,53,27,29,16,25,34,40,34
