pest_control,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24
16.5032,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,1.0,4.0
17.090799999999998,2.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,1.0,1.0
17.2072,2.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0,0.0,3.0,4.0,4.0,2.0,3.0,4.0,0.0,4.0,1.0,4.0
16.7136,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,0.0,2.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,1.0,4.0
16.828,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,4.0,1.0,4.0
16.6908,3.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,4.0
16.395599999999998,2.0,4.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
16.836399999999998,3.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,0.0,2.0,0.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0
16.047600000000003,2.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
16.8304,3.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
16.279999999999998,2.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
17.403999999999996,2.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,0.0,3.0,0.0,4.0,4.0,4.0
17.35,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,0.0,4.0,4.0,4.0
16.899200000000004,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0
